30	30	DOPAD	30	0	1603192469	1604192962	"[ { ""weight"": 80, ""symbol"": { ""symbol"": ""4,EOS"", ""contract"": ""eosio.token"" }, ""reserve"": ""0.0000 EOS"" }, { ""weight"": 20, ""symbol"": { ""symbol"": ""10,SSC"", ""contract"": ""seashellcoin"" }, ""reserve"": ""0.0000000000 SSC"" } ]"
31	31	DOPAE	30	0	1603193787	1603618253	"[ { ""weight"": 98, ""symbol"": { ""symbol"": ""4,TPT"", ""contract"": ""eosiotptoken"" }, ""reserve"": ""0.0000 TPT"" }, { ""weight"": 2, ""symbol"": { ""symbol"": ""4,EOS"", ""contract"": ""eosio.token"" }, ""reserve"": ""0.0000 EOS"" } ]"
32	32	DOPAF	30	0	1603206752	1603325379	"[ { ""weight"": 80, ""symbol"": { ""symbol"": ""10,SSC"", ""contract"": ""seashellcoin"" }, ""reserve"": ""0.0000000000 SSC"" }, { ""weight"": 20, ""symbol"": { ""symbol"": ""4,EOS"", ""contract"": ""eosio.token"" }, ""reserve"": ""0.0000 EOS"" } ]"
33	33	DOPAG	30	0	1603244428	1603244428	"[ { ""weight"": 98, ""symbol"": { ""symbol"": ""4,KEY"", ""contract"": ""mkstaketoken"" }, ""reserve"": ""0.0000 KEY"" }, { ""weight"": 2, ""symbol"": { ""symbol"": ""4,HUB"", ""contract"": ""eoshubtokens"" }, ""reserve"": ""0.0000 HUB"" } ]"
34	34	DOPAH	30	0	1603256526	1605176681	"[ { ""weight"": 50, ""symbol"": { ""symbol"": ""4,DEOS"", ""contract"": ""eosdmddtoken"" }, ""reserve"": ""0.0000 DEOS"" }, { ""weight"": 50, ""symbol"": { ""symbol"": ""4,EOS"", ""contract"": ""eosio.token"" }, ""reserve"": ""0.0000 EOS"" } ]"
35	35	DOPAI	30	100640230	1603270172	1605408339	"[ { ""weight"": 80, ""symbol"": { ""symbol"": ""4,VIG"", ""contract"": ""vig111111111"" }, ""reserve"": ""717733.0785 VIG"" }, { ""weight"": 20, ""symbol"": { ""symbol"": ""4,EOS"", ""contract"": ""eosio.token"" }, ""reserve"": ""83.1114 EOS"" } ]"
36	36	DOPAJ	30	0	1603278154	1603793582	"[ { ""weight"": 2, ""symbol"": { ""symbol"": ""4,EOS"", ""contract"": ""eosio.token"" }, ""reserve"": ""0.0000 EOS"" }, { ""weight"": 98, ""symbol"": { ""symbol"": ""4,KEY"", ""contract"": ""mkstaketoken"" }, ""reserve"": ""0.0000 KEY"" } ]"
37	37	DOPAK	30	0	1603289791	1603290548	"[ { ""weight"": 2, ""symbol"": { ""symbol"": ""4,EOS"", ""contract"": ""eosio.token"" }, ""reserve"": ""0.0000 EOS"" }, { ""weight"": 98, ""symbol"": { ""symbol"": ""4,TANKK"", ""contract"": ""tankfortress"" }, ""reserve"": ""0.0000 TANKK"" } ]"
38	38	DOPAL	30	0	1603290364	1603290364	"[ { ""weight"": 50, ""symbol"": { ""symbol"": ""4,EOS"", ""contract"": ""eosio.token"" }, ""reserve"": ""0.0000 EOS"" }, { ""weight"": 50, ""symbol"": { ""symbol"": ""4,TANKK"", ""contract"": ""tankfortress"" }, ""reserve"": ""0.0000 TANKK"" } ]"
39	39	DOPAM	30	0	1603342061	1603342061	"[ { ""weight"": 50, ""symbol"": { ""symbol"": ""8,YFC"", ""contract"": ""yfctokenmain"" }, ""reserve"": ""0.00000000 YFC"" }, { ""weight"": 50, ""symbol"": { ""symbol"": ""4,EOS"", ""contract"": ""eosio.token"" }, ""reserve"": ""0.0000 EOS"" } ]"
40	40	DOPAN	30	0	1603342099	1603342099	"[ { ""weight"": 80, ""symbol"": { ""symbol"": ""8,YFC"", ""contract"": ""yfctokenmain"" }, ""reserve"": ""0.00000000 YFC"" }, { ""weight"": 20, ""symbol"": { ""symbol"": ""4,EOS"", ""contract"": ""eosio.token"" }, ""reserve"": ""0.0000 EOS"" } ]"
41	41	DOPAO	30	0	1603342165	1603342165	"[ { ""weight"": 50, ""symbol"": { ""symbol"": ""4,DAPP"", ""contract"": ""dappservices"" }, ""reserve"": ""0.0000 DAPP"" }, { ""weight"": 50, ""symbol"": { ""symbol"": ""4,EOS"", ""contract"": ""eosio.token"" }, ""reserve"": ""0.0000 EOS"" } ]"
42	42	DOPAP	30	0	1603342203	1603342203	"[ { ""weight"": 80, ""symbol"": { ""symbol"": ""4,DAPP"", ""contract"": ""dappservices"" }, ""reserve"": ""0.0000 DAPP"" }, { ""weight"": 20, ""symbol"": { ""symbol"": ""4,EOS"", ""contract"": ""eosio.token"" }, ""reserve"": ""0.0000 EOS"" } ]"
43	43	DOPAQ	30	0	1603342297	1603342297	"[ { ""weight"": 50, ""symbol"": { ""symbol"": ""4,DFS"", ""contract"": ""minedfstoken"" }, ""reserve"": ""0.0000 DFS"" }, { ""weight"": 50, ""symbol"": { ""symbol"": ""4,EOS"", ""contract"": ""eosio.token"" }, ""reserve"": ""0.0000 EOS"" } ]"
44	44	DOPAR	30	0	1603342329	1603342329	"[ { ""weight"": 80, ""symbol"": { ""symbol"": ""4,DFS"", ""contract"": ""minedfstoken"" }, ""reserve"": ""0.0000 DFS"" }, { ""weight"": 20, ""symbol"": { ""symbol"": ""4,EOS"", ""contract"": ""eosio.token"" }, ""reserve"": ""0.0000 EOS"" } ]"
45	45	DOPAS	30	0	1603346469	1603346469	"[ { ""weight"": 98, ""symbol"": { ""symbol"": ""4,EOS"", ""contract"": ""eosio.token"" }, ""reserve"": ""0.0000 EOS"" }, { ""weight"": 2, ""symbol"": { ""symbol"": ""3,IQ"", ""contract"": ""everipediaiq"" }, ""reserve"": ""0.000 IQ"" } ]"
